Index	Name	Function1	Function2	Function3	Damage1	Damage2	Damage3	Duration1	Duration2	Duration3	Method	Equip	Weapon	Material	Action	Special	Max_Lv	Hit_count	milli_delay	ReqAP	Buf_Lv	Target	apply_Target	Distance	Range_Type	Range_X	Range_Y	Req_Quest	Req_Skill	Req_SkLv	Req_Point	Req_Lv	CastingTime	CoolTime	CoolTime_Series	Scripts
22	벼락베기	103	0	0	70	0	0	0	0	0	4	4	3	0	13	0	20	1	0	80	0	2	2	3	0	0	0	0	0	0	2	11	0	500	16	콤보연계기로 적 하나에게 매우 큰 타격을 입힌다.  콤보3타 공격중, A+S
23	섬광베기	104	133	0	-60	60	0	0	3	0	5	4	3	0	10	0	20	1	0	80	0	1	2	3	1	3	3	0	0	0	2	12	0	500	17	콤보연계기로, 섬광을 일으켜, 주위의 적들에게 데미지를 입힘과 동시에 눈을 멀게 함으로서 스턴 상태에 빠트린다.  콤보2타 공격중, A+S
24	회오리베기	104	0	0	-20	0	0	0	0	0	5	4	3	0	0	0	20	1	0	90	0	1	2	3	1	3	3	0	0	0	2	13	0	15000	18	제자리에서 칼을 휘돌려 주위의 적들에게 큰 데미지를 입힌다.
25	예리한 눈빛	20	0	0	5	0	0	0	0	0	2	4	4	0	0	0	20	1	0	0	0	1	1	0	0	0	0	0	0	0	2	5	0	0	0	충격성공률을 높인다.
26	충격탄	103	133	0	10	60	0	0	2	0	5	4	4	0	0	0	20	1	0	60	0	2	2	7	0	0	0	0	0	0	2	6	1000	12000	11	적에게 데미지를 입힘과 동시에 스턴 상태에 빠트린다.
27	도주궁술	103	109	0	10	50	0	0	0	0	4	4	4	0	6	0	20	1	0	30	0	2	2	7	0	0	0	0	0	0	2	7	0	500	12	도망치면서 뒤로 한번 더 화살을 발사한다.  대쉬 공격중에 A+S
28	다리조준	103	53	0	10	50	0	0	4	0	5	4	4	0	0	0	20	1	0	60	0	2	2	7	0	0	0	0	0	0	2	8	0	10000	13	적에게 데미지를 입힘과 동시에 이동 속도를 떨어트린다.
29	다중사	104	135	0	-50	0	0	0	0	0	5	4	4	0	0	0	20	1	0	80	0	2	2	7	1	3	3	0	0	0	2	9	0	15000	14	한거번에 사정권 안에 있는 세 명의 적을 동시에 공격한다.
30	투구조준	103	41	0	10	50	0	0	3	0	5	4	4	0	0	0	20	1	0	80	0	2	2	7	0	0	0	0	0	0	2	10	0	9000	15	적의 방어력을 일시적으로 낮춘다.  
31	독화살	104	113	0	-50	6	0	0	12	0	5	4	4	0	0	0	20	1	0	70	0	2	2	7	0	0	0	0	0	0	2	11	1000	12000	16	적에게 독이 묻은 화살을 발사하여 지속적으로 독 데미지를 입힌다.
32	모아쏘기	103	0	0	60	0	0	0	0	0	5	4	4	0	0	0	20	1	0	90	0	2	2	7	0	0	0	0	0	0	2	12	2000	15000	17	기를 모아 발사함으로서 적하나에 큰 데미지를 입힌다.
33	대지모신의 외침	104	133	0	-40	80	0	0	3	0	5	0	0	0	0	0	20	1	0	0	0	1	2	0	1	2	2	0	0	0	0	0	500	30000	11	주위의 적 캐릭터들에게 데미지를 입힘과 동시에 스턴 상태에 빠트린다. 
34	대지모신의 가호	94	0	0	50	0	0	15	0	0	5	0	0	0	0	0	20	1	0	0	0	1	1	0	1	2	2	0	0	0	0	0	1000	30000	12	마법방어력을 순간적으로 최대치까지 높인다.
35	대지모신의 도끼	104	0	0	50	0	0	0	0	0	5	0	0	0	0	0	20	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	3000	13	정면의 적에게 도끼를 휘둘러 큰 데미지를 입힌다.
36	조상들의 가호	84	0	0	200	0	0	0	0	0	8	0	0	0	0	0	20	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	HP최대치를 높여준다.
37	닻돌리기	104	0	0	-50	0	0	0	0	0	5	0	0	0	0	0	20	1	0	0	0	1	2	0	1	2	2	0	0	0	0	0	0	15000	11	닻을 돌려 주위의 적들에게 데미지를 입힌다.
38	빙산의 일격	106	0	0	150	0	0	0	0	0	5	0	0	0	0	0	20	1	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	3000	12	닻을 내리쳐, 땅속에 있던 빙산으로 하여금 적을 공격하게 한다.
39	미끄러지기	52	0	0	50	0	0	15	0	0	5	0	0	0	0	0	20	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	500	15000	13	순간적으로 이동속도를 빠르게 해준다.
40	무거운 닻	12	0	0	20	0	0	0	0	0	8	0	0	0	0	0	20	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	공격력2를 높여준다,
41	파염권	107	114	0	50	5	0	0	12	0	5	0	0	0	0	0	20	1	0	0	0	2	2	5	2	4	1	0	0	0	0	0	1000	8000	11	두 손에 불꽃의 기운을 모아 장풍처럼 발사해 일렬로 서있는 적들에게 일제히 화속성 데미지를 입힌다.
42	사자후	107	114	0	40	5	0	0	12	0	5	0	0	0	0	0	20	1	0	0	0	1	2	3	1	2	2	0	0	0	0	0	1000	10000	12	큰 소리로 외침으로서 주위의 적들에게 일제히 화속성 데미지를 입힌다.
43	화염권	107	114	0	80	5	0	0	12	0	5	0	0	0	0	0	20	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	5000	13	주먹질을 통해서 적 하나에게 큰 데미지를 입힌다.
44	불꽃의 주먹	12	0	0	5	0	0	0	0	0	8	0	0	0	0	0	20	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	공격력2를 높여준다.
45	표창 던지기	103	0	0	10	0	0	0	0	0	5	0	0	0	0	0	20	1	0	0	0	2	2	7	0	0	0	0	0	0	0	0	0	300	11	원거리에 있는 적을 공격한다. 
46	공중 표창	103	109	0	30	60	0	0	0	0	4	0	0	0	3	0	20	1	0	0	0	2	2	7	0	0	0	0	0	0	0	0	0	3000	12	공중에서 지상의 적에게 표창을 던진다.  명중당한 대상은 충격을 당한다.
47	할퀴기	103	109	0	50	90	0	0	0	0	5	0	0	0	0	0	20	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	6000	13	날카로운 발톱을 휘둘러 접근한 적을 밀어낸다.
48	흐릿한 모습	102	0	0	0	0	0	0	0	0	8	0	0	0	0	0	20	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	회피율을 높여준다.
