Index	Item Drop Group Name	No1_ID	No1_PR	No2_ID	No2_PR	No3_ID	No3_PR	No4_ID	No4_PR	No5_ID	No5_PR	No6_ID	No6_PR	No7_ID	No7_PR	No8_ID	No8_PR	No9_ID	No9_PR	No10_ID	No10_PR	No11_ID	No11_PR	No12_ID	No12_PR	No13_ID	No13_PR	No14_ID	No14_PR	No15_ID	No15_PR	No16_ID	No16_PR	No17_ID	No17_PR	No18_ID	No18_PR	No19_ID	No19_PR	No20_ID	No20_PR	No21_ID	No21_PR	No22_ID	No22_PR	No23_ID	No23_PR	No24_ID	No24_PR	No25_ID	No25_PR	No26_ID	No26_PR	No27_ID	No27_PR	No28_ID	No28_PR	No29_ID	No29_PR	No30_ID	No30_PR	No31_ID	No31_PR	No32_ID	No32_PR	No33_ID	No33_PR	No34_ID	No34_PR	No35_ID	No35_PR	No36_ID	No36_PR	No37_ID	No37_PR	No38_ID	No38_PR	No39_ID	No39_PR	No40_ID	No40_PR	No41_ID	No41_PR	No42_ID	No42_PR	No43_ID	No43_PR	No44_ID	No44_PR	No45_ID	No45_PR	No46_ID	No46_PR	No47_ID	No47_PR	No48_ID	No48_PR	No49_ID	No49_PR	No50_ID	No50_PR	No51_ID	No51_PR	No52_ID	No52_PR	No53_ID	No53_PR	No54_ID	No54_PR	No55_ID	No55_PR	No56_ID	No56_PR	No57_ID	No57_PR	No58_ID	No58_PR	No59_ID	No59_PR	No60_ID	No60_PR	Enchant Drop Prob	Enchant Drop Equip Group	Enchant Drop Option Group	Enchant Drop Item Level	Grade 1 Prob	Grade 2 Prob	Grade 3 Prob	Grade 4 Prob	Grade 5 Prob	Grade 6 Prob	Grade 7 Prob	Grade 8 Prob	Grade 9 Prob
14	[73]큐라 (Lev.9)	901	9450000	904	1050000	902	3375000	905	375000	903	675000	906	75000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	9450000	904	1050000	902	3375000	905	375000	903	675000	906	75000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	9450000	904	1050000	902	3375000	905	375000	903	675000	906	75000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	[14]래비티 (Lev.10)	1023	66164	1025	56510	1027	50511	1029	66171	1031	66171	1033	66171	1035	66164	1037	53194	1024	24028	1026	17749	1028	15190	1030	22821	1032	22605	1034	22429	1036	21280	1038	15608	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	[15]클로버나이트 (Lev.10)	1009	26001	1011	16949	1013	26001	1015	26001	1017	26001	1019	27210	1021	16310	1010	47918	1012	25658	1014	47904	1016	47904	1018	47904	1020	47904	1022	26566	0	0	0	0	0	0	0	0	0	0	0	0	1120	1440840	1121	1044360	1122	996000	1123	1068840	1124	1440720	1125	1440720	1126	1440720	1127	1440720	1128	1440720	1129	246360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	[16]클로버나이트 (Lev.11)	1009	22294	1011	14532	1013	22294	1015	22294	1017	22294	1019	23330	1021	13985	1010	41086	1012	22000	1014	41074	1016	41074	1018	41074	1020	41074	1022	22779	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	[17]나이트에이스 (Lev.11)	1009	27881	1011	18175	1013	27881	1015	27881	1017	27881	1019	29177	1021	17490	1010	51383	1012	27514	1014	51369	1016	51369	1018	51369	1020	51369	1022	28488	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	[18]나이트에이스 (Lev.12)	1009	23944	1011	15608	1013	23944	1015	23944	1017	23944	1019	25057	1021	15020	1010	44127	1012	23629	1014	44115	1016	44115	1018	44115	1020	44115	1022	24465	0	0	0	0	0	0	0	0	0	0	0	0	901	7560000	904	840000	902	2700000	905	300000	903	540000	906	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	[19]조커 (Lev.12)	6	7038000	7	2550000	8	510000	9	102000	85	13662000	86	4950000	87	990000	88	198000	165	13662000	166	4950000	167	990000	168	198000	575	7038000	576	2550000	577	510000	578	102000	0	0	0	0	0	0	0	0	1086	11871600	1087	6216600	1088	11872200	1089	11872200	1090	6295200	1091	11872200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076	7011600	1077	4162200	1078	4284600	1079	7011600	1080	7011600	1081	2464200	1082	7019400	1083	7011600	1084	7011600	1085	7011600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	[20]미운오리 (Lev.13)	6	38321	7	13884	8	2777	9	555	85	74387	86	26952	87	5390	88	1078	165	74387	166	26952	167	5390	168	1078	575	38321	576	13884	577	2777	578	555	0	0	0	0	0	0	0	0	335	161305	336	58444	337	11689	338	2338	415	161305	416	58444	417	11689	418	2338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	161305	256	58444	257	11689	258	2338	495	161305	496	58444	497	11689	498	2338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	[21]미운오리 (Lev.14)	6	32388	7	11735	8	2347	9	469	85	62870	86	22779	87	4556	88	911	165	62870	166	22779	167	4556	168	911	575	32388	576	11735	577	2347	578	469	0	0	0	0	0	0	0	0	335	136346	336	49401	337	9880	338	1976	415	136346	416	49401	417	9880	418	1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	136346	256	49401	257	9880	258	1976	495	136346	496	49401	497	9880	498	1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	[22]첫째돼지 (Lev.14)	6	32388	7	11735	8	2347	9	469	85	62870	86	22779	87	4556	88	911	165	62870	166	22779	167	4556	168	911	575	32388	576	11735	577	2347	578	469	0	0	0	0	0	0	0	0	335	136346	336	49401	337	9880	338	1976	415	136346	416	49401	417	9880	418	1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	136346	256	49401	257	9880	258	1976	495	136346	496	49401	497	9880	498	1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	[24]양의 탈을 쓴 늑대 (Lev.14)	1009	26350	1011	17177	1013	26350	1015	26350	1017	26350	1019	27576	1021	16530	1010	48562	1012	26004	1014	48549	1016	48549	1018	48549	1020	48549	1022	26924	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	[23]첫째돼지 (Lev.15)	6	27675	7	10027	8	2005	9	401	85	53721	86	19464	87	3893	88	779	165	53721	166	19464	167	3893	168	779	575	27675	576	10027	577	2005	578	401	0	0	0	0	0	0	0	0	335	116515	336	42215	337	8443	338	1689	415	116515	416	42215	417	8443	418	1689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	116515	256	42215	257	8443	258	1689	495	116515	496	42215	497	8443	498	1689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	[25]양의 탈을 쓴 늑대 (Lev.15)	1009	22519	1011	14679	1013	22519	1015	22519	1017	22519	1019	23566	1021	14126	1010	41501	1012	22222	1014	41489	1016	41489	1018	41489	1020	41489	1022	23009	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	[26]불량오리 (Lev.15)	1120	28328	1121	20533	1122	19582	1123	21014	1124	28326	1125	28326	1126	28326	1127	28326	1128	28326	1129	4844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	[28]둘째돼지 (Lev.15)	1092	24405	1093	24407	1094	17119	1095	17296	1096	18490	1097	18799	1098	24407	1099	24407	1101	24407	1100	24407	1102	17787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	[27]불량오리 (Lev.16)	1120	34602	1121	25081	1122	23919	1123	25669	1124	34600	1125	34600	1126	34600	1127	34600	1128	34600	1129	5916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	[29]둘째돼지 (Lev.16)	1092	29810	1093	29813	1094	20911	1095	21127	1096	22585	1097	22963	1098	29813	1099	29813	1101	29813	1100	29813	1102	21726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	[30]빨간 두건을 쓴 늑대 (Lev.16)	1092	38145	1093	38149	1094	26758	1095	27034	1096	28900	1097	29383	1098	38149	1099	38149	1101	38149	1100	38149	1102	27801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	[74]파란새 (Lev.16)	901	6300000	904	700000	902	2250000	905	250000	903	450000	906	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	6300000	904	700000	902	2250000	905	250000	903	450000	906	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	6300000	904	700000	902	2250000	905	250000	903	450000	906	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	[31]빨간 두건을 쓴 늑대 (Lev.17)	1092	32469	1093	32472	1094	22776	1095	23012	1096	24600	1097	25011	1098	32472	1099	32472	1101	32472	1100	32472	1102	23664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	[32]셋째돼지 (Lev.17)	1054	15905	1055	6912	1056	6853	1057	15901	1058	15901	1059	15901	1060	15901	1069	12190	1070	12231	1071	15901	1072	15901	1073	12675	1074	4633	1075	4525	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	[52]독사과 마녀 (Lev.17)	1054	15905	1055	6912	1056	6853	1057	15901	1058	15901	1059	15901	1060	15901	1069	12190	1070	12231	1071	15901	1072	15901	1073	12675	1074	4633	1075	4525	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	[33]셋째돼지 (Lev.18)	1054	19494	1055	8471	1056	8400	1057	19490	1058	19490	1059	19490	1060	19490	1069	14941	1070	14992	1071	19490	1072	19490	1073	15535	1074	5678	1075	5546	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	[53]독사과 마녀 (Lev.18)	1054	19494	1055	8471	1056	8400	1057	19490	1058	19490	1059	19490	1060	19490	1069	14941	1070	14992	1071	19490	1072	19490	1073	15535	1074	5678	1075	5546	0	0	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	[55]다섯째 난쟁이 (Lev.19)	1061	9834	1062	9828	1063	6569	1064	7291	1065	9828	1066	9828	1067	9828	1068	9828	1069	6903	1070	7521	1071	9828	1072	9828	1073	9828	1074	4286	1075	4487	0	0	0	0	0	0	0	0	0	0	901	3780000	904	420000	902	1350000	905	150000	903	270000	906	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
