Index	Name	Lev	HP_max	AP_max	EXP	Att_basic	Def_basic	Att2_basic	Def2_basic	Eva_basic	Impact_short_def	Impact_long_def	Impact_att	mdef_basic	Cri_basic	recover_hp	recover_ap	speed_move_1	speed_move_2	speed_move_3	milli_delay_attack	area_attack	def_intensity	att_intensity	Skil01	Sk01_Rate	Skil02	Sk02_Rate	Skil03	Sk03_Rate	Skil04	Sk04_Rate	Skil05	Sk05_Rate	area_wander_w	area_wander_h	hostile_rate	area_vision	area_pursuit	flee_HP	milli_delay_regen	milli_delay_death	elements	summon	scripts	Graphic	scale	Drop	money_drop	money_min	money_max	qitem_id	quest_id	qitem_drop	type	regen_effect	mastery	mapicon
11	래비틀	8	150	0	80	50	30	0	0	0	5	5	10	0	5	2	0	1.5	3	4	1000	1	10	6	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	30	15000	5000	2	0	13,14,15,16	T_rabbitle.act	1	11	56000000	15	17	0	0	0	0	regen_s.ms1	56	0
12	래비틀	9	161	0	85	52	30	0	0	0	5	5	10	0	5	2	0	1.5	3	4	1000	1	10	6	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	30	15000	5000	2	0	13,14,15,16	T_rabbitle.act	1	12	55000000	17	19	0	0	0	0	regen_s.ms1	59	0
13	래비티	9	161	0	85	52	30	0	0	0	5	5	10	0	5	2	0	1.5	3	4	1000	1	11	7	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	2	0	13,14,15,16	T_rabbity.act	1	13	55000000	17	19	0	0	0	0	regen_s.ms1	59	0
14	래비티	10	163	0	90	59	31	0	0	0	5	5	10	0	5	2	0	1.5	3	4	1000	1	11	7	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	2	0	13,14,15,16	T_rabbity.act	1	15	55000000	19	21	0	0	0	0	regen_s.ms1	63	0
15	클로버나이트	10	163	0	90	59	31	0	0	0	5	30	20	0	5	2	0	2	4	4	1000	1	8	12	13	20	0	0	0	0	0	0	0	0	8	4	100	5	12	0	15000	5000	3	0	17,18,19,20	T_cloverknight.act	1	16	55000000	19	21	0	0	0	0	regen_m.ms1	63	0
16	클로버나이트	11	174	0	95	61	31	0	0	0	5	30	20	0	5	2	0	2	4	4	1000	1	9	13	13	20	0	0	0	0	0	0	0	0	8	4	100	5	12	0	15000	5000	3	0	17,18,19,20	T_cloverknight.act	1	17	54000000	20	24	0	0	0	0	regen_m.ms1	66	0
17	나이트에이스	11	174	100	95	61	31	0	0	0	30	30	20	0	5	2	5	1.6	3.2	4	1500	1	8	12	13	20	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	3	0	21,22,23,24	T_knightAce.act	1	18	54000000	20	24	0	0	0	0	regen_m.ms1	63	0
18	나이트에이스	12	177	100	100	62	32	0	0	0	30	30	20	0	5	2	5	1.6	3.2	4	1500	1	9	13	13	20	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	3	0	21,22,23,24	T_knightAce.act	1	19	54000000	22	26	0	0	0	0	regen_m.ms1	66	0
19	조커	12	2054	500	400	62	32	60	30	0	5	5	10	0	5	3	10	1.7	3.4	4	1000	1	10	10	3	10	12	10	2	30	0	0	0	0	8	4	100	6	12	0	30000	5000	0	0	25,26,27,28	T_joker.act	1	20	100000000	150	200	3	5	100000000	0	regen_l.ms1	280	0
20	미운오리	13	221	0	120	62	40	0	0	0	5	5	10	0	5	3	0	1.5	3	4	1000	1	8	8	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	2	0	29,30,31,32	T_uglyduck.act	1	21	53000000	24	28	0	0	0	0	regen_s.ms1	70	0
21	미운오리	14	232	0	125	64	40	0	0	0	5	5	10	0	5	3	0	1.5	3	4	1000	1	8	8	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	2	0	29,30,31,32	T_uglyduck.act	1	22	53000000	26	30	0	0	0	0	regen_s.ms1	73	0
22	첫째돼지	14	232	0	125	64	40	0	0	0	5	5	10	0	5	3	0	1.5	3	4	1000	1	9	9	4	20	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	33,34,35,36	T_pig1.act	1	23	53000000	26	30	0	0	0	0	regen_m.ms1	77	0
23	첫째돼지	15	236	0	130	66	41	0	0	0	5	5	10	0	5	3	0	1.5	3	4	1000	1	9	9	4	20	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	33,34,35,36	T_pig1.act	1	25	52000000	28	34	0	0	0	0	regen_m.ms1	80	0
24	양의 탈을 쓴 늑대	14	232	0	125	64	40	0	0	0	5	5	10	0	5	3	0	2	4	4	1000	1	10	10	13	15	0	0	0	0	0	0	0	0	8	4	0	2	12	0	15000	5000	0	0	37,38,39,40	T_kindwolf.act	1	24	53000000	26	30	0	0	0	0	regen_m.ms1	84	0
25	양의 탈을 쓴 늑대	15	236	0	130	66	41	0	0	0	5	5	10	0	5	3	0	2	4	4	1000	1	10	10	13	15	0	0	0	0	0	0	0	0	8	4	0	2	12	0	15000	5000	0	0	37,38,39,40	T_kindwolf.act	1	26	52000000	28	34	0	0	0	0	regen_m.ms1	87	0
26	불량오리	15	236	0	130	66	41	0	0	0	5	5	10	0	5	4	0	1.5	3	4	1000	1	11	11	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	2	0	41,42,43,44	T_badduck.act	1	27	52000000	28	34	0	0	0	0	regen_s.ms1	91	0
27	불량오리	16	240	0	135	71	42	0	0	0	5	5	10	0	5	4	0	1.5	3	4	1000	1	11	11	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	2	0	41,42,43,44	T_badduck.act	1	29	52000000	30	36	0	0	0	0	regen_s.ms1	94	0
28	둘째돼지	15	236	0	130	66	41	0	0	0	5	5	10	0	5	4	0	1.5	3	4	1000	1	12	12	4	20	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	45,46,47,48	T_pig2.act	1	28	52000000	28	34	0	0	0	0	regen_m.ms1	94	0
29	둘째돼지	16	240	0	135	71	42	0	0	0	5	5	10	0	5	4	0	1.5	3	4	1000	1	12	12	4	20	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	45,46,47,48	T_pig2.act	1	30	52000000	30	36	0	0	0	0	regen_m.ms1	98	0
30	빨간 두건을 쓴 늑대	16	240	0	135	71	42	0	0	0	5	5	10	0	5	4	0	2	4	4	3000	6	13	13	0	0	0	0	0	0	0	0	0	0	8	4	100	4	12	50	15000	5000	3	0	49,50,51,52	T_Rhwolf.act	1	31	52000000	30	36	0	0	0	0	regen_m.ms1	98	0
31	빨간 두건을 쓴 늑대	17	252	0	140	73	42	0	0	0	5	5	10	0	5	4	0	2	4	4	3000	6	13	13	0	0	0	0	0	0	0	0	0	0	8	4	100	4	12	50	15000	5000	3	0	49,50,51,52	T_Rhwolf.act	1	33	51000000	32	38	0	0	0	0	regen_m.ms1	101	0
32	셋째돼지	17	252	0	140	73	42	0	0	0	5	5	10	0	5	4	0	1.5	3	4	1000	1	14	14	4	20	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	53,54,55,56	T_pig3.act	1	34	51000000	32	38	0	0	0	0	regen_m.ms1	105	0
33	셋째돼지	18	256	0	145	80	43	0	0	0	5	5	10	0	5	4	0	1.5	3	4	1000	1	14	14	4	20	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	0	53,54,55,56	T_pig3.act	1	36	51000000	33	41	0	0	0	0	regen_m.ms1	108	0
34	앤티락	17	252	100	140	73	42	0	0	0	5	5	10	0	5	5	6	1.8	3.6	4	1200	6	15	15	5	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	1	0	57,58,59,60	T_antyrock.act	1	34	51000000	32	38	0	0	0	0	regen_m.ms1	108	0
35	앤티락	18	256	100	145	80	43	0	0	0	5	5	10	0	5	5	6	1.8	3.6	4	1200	6	15	15	5	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	1	0	57,58,59,60	T_antyrock.act	1	35	51000000	33	41	0	0	0	0	regen_m.ms1	112	0
36	앤티	18	256	0	145	80	43	0	0	0	5	5	10	0	5	5	0	1.8	3.6	4	800	1	16	16	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	1	0	61,62,63,64	T_anty.act	1	36	51000000	33	41	0	0	0	0	regen_m.ms1	108	0
37	앤티	19	269	0	150	81	43	0	0	0	5	5	10	0	5	5	0	1.8	3.6	4	800	1	16	16	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	1	0	61,62,63,64	T_anty.act	1	37	50000000	36	44	0	0	0	0	regen_m.ms1	112	0
38	앤티	20	273	0	155	83	44	0	0	0	5	5	10	0	5	5	0	1.8	3.6	4	800	1	17	17	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	1	0	61,62,63,64	T_anty.act	1	38	50000000	38	46	0	0	0	0	regen_m.ms1	115	0
39	일하는 베짱이	21	276	100	160	88	45	10	30	0	5	30	30	0	30	5	0	1.3	2.6	4	1000	1	17	17	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	1	0	65,66,67,68	T_Greenwk.act	1	39	49000000	40	50	0	0	0	0	regen_m.ms1	112	0
40	일하는 베짱이	22	290	100	165	89	45	10	30	0	5	30	30	0	30	5	0	1.3	2.6	4	1000	1	18	18	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	1	0	65,66,67,68	T_Greenwk.act	1	40	49000000	42	52	0	0	0	0	regen_m.ms1	115	0
41	두더지아저씨	23	4680	500	700	90	46	40	60	0	40	70	40	0	40	6	12	1.3	2.6	4	1000	2	18	18	6	50	12	10	0	0	0	0	0	0	8	4	100	2	12	0	15000	5000	0	5	69,70,71,72	T_UncleMole.act	1	41	100000000	250	300	0	0	0	0	regen_l.ms1	490	0
42	새끼두더지	23	13000	0	0	1	10000	0	0	100	100	100	0	100	0	5	0	3.8	3.8	4	1000	1	0	0	9	100	0	0	0	0	0	0	0	0	20	10	100	8	50	0	1000000	1000	0	0	none	T_BabyMole.act	1	0	0	0	0	0	0	0	0	regen_s.ms1	0	0
43	워프_NPC	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	none	gate.act	1	0	0	0	0	0	0	0	2	regen_l.ms1	0	7
44	실피르	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	73,74,75	N_Sylpheer.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	1
45	루크	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	76,77,78	N_Ruke.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	2
46	휘시스	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	79,80,81	N_Huisis.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	2
47	다카르트	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	82,83,84	N_Darkart.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	4
48	이상한 토끼	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	85,86,87	N_StraRabbit.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	5
49	체셔 고양이	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	88,89,90	N_Cheshire.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	5
50	체스 킹	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	91,92,93	N_ChessKG.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	5
51	카드병정	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	94,95,96	N_CloverGD.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	6
52	독사과 마녀	17	252	100	140	73	42	0	0	0	5	5	10	0	5	5	0	1.5	3	3.8	3000	6	1	1	0	0	0	0	0	0	0	0	0	0	8	4	100	4	12	50	15000	5000	4	0	1,2,3,4	T_AppleWitch.act	1	35	50000000	1	2	0	0	0	0	regen_s.ms1	119	0
53	독사과 마녀	18	256	100	145	80	43	0	0	0	5	5	10	0	5	5	0	1.5	3	3.8	3000	6	1	1	0	0	0	0	0	0	0	0	0	0	8	4	100	4	12	50	15000	5000	4	0	1,2,3,4	T_AppleWitch.act	1	37	50000000	2	3	0	0	0	0	regen_s.ms1	122	0
54	뷁살공주	23	5000	500	700	90	46	40	60	0	90	90	70	0	30	15	10	1.5	3	4	1500	1	2	2	10	20	11	10	12	10	0	0	0	0	8	4	100	6	12	0	15000	5000	0	0	5,6,7,8	T_Bkprincess.act	1	42	50000000	4	5	0	0	0	0	regen_l.ms1	1050	0
55	다섯째 난쟁이	19	269	0	150	81	43	0	0	0	5	5	10	0	5	5	0	1.8	3.6	4	800	1	16	16	13	15	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	1	0	61,62,63,64	T_Dwarf5.act	1	38	50000000	3	4	0	0	0	0	regen_s.ms1	126	0
56	다섯째 난쟁이	20	273	0	155	83	44	0	0	0	5	5	10	0	5	5	0	1.8	3.6	4	800	1	17	17	13	15	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	1	0	5,6,7,8	T_Dwarf5.act	1	39	50000000	4	5	0	0	0	0	regen_s.ms1	129	0
57	여섯째 난쟁이	21	276	100	160	88	45	10	30	0	5	5	10	0	5	5	0	1.5	3	4	3000	6	3	3	0	0	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	3	0	9,10,11,12	T_Dwarf6.act	1	40	50000000	5	6	1	2	50000000	0	regen_s.ms1	133	0
58	여섯째 난쟁이	22	290	100	165	89	45	10	30	0	5	5	10	0	5	5	0	1.5	3	4	3000	6	3	3	0	0	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	3	0	9,10,11,12	T_Dwarf6.act	1	41	50000000	6	7	1	2	50000000	0	regen_s.ms1	136	0
59	매직 미러	35	526	0	200	98	55	0	0	0	5	5	10	0	5	5	0	1.5	3	4	1000	1	2	2	13	15	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	2	0	5,6,7,8	T_MagMirror.act	1	1	50000000	3	4	0	0	0	0	regen_m.ms1	140	0
60	매직 미러	36	533	0	205	102	57	0	0	0	5	5	10	0	5	5	0	1.5	3	4	1000	1	2	2	13	15	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	2	0	5,6,7,8	T_MagMirror.act	1	1	50000000	4	5	0	0	0	0	regen_m.ms1	143	0
61	미스틱 미러	37	650	0	210	105	59	0	0	0	5	5	10	0	5	5	0	1.5	3	4	1000	1	3	3	13	15	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	2	0	9,10,11,12	T_MysMirror.act	1	1	50000000	5	6	1	2	50000000	0	regen_m.ms1	147	0
62	미스틱 미러	38	663	0	215	106	61	0	0	0	5	5	10	0	5	5	0	1.5	3	4	1000	1	3	3	13	15	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	2	0	9,10,11,12	T_MysMirror.act	1	1	50000000	6	7	1	2	50000000	0	regen_m.ms1	150	0
63	백마낀왕자	39	676	0	220	108	66	0	0	0	5	5	10	0	5	5	0	2.5	5	6	1000	1	2	2	13	15	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	4	0	5,6,7,8	T_WhitePrince.act	1	4	50000000	3	4	0	0	0	0	regen_m.ms1	154	0
64	백마낀왕자	40	689	0	225	109	67	0	0	0	5	5	10	0	5	5	0	2.5	5	6	1000	1	2	2	13	15	0	0	0	0	0	0	0	0	8	4	100	6	12	0	15000	5000	4	0	5,6,7,8	T_WhitePrince.act	1	4	50000000	4	5	0	0	0	0	regen_m.ms1	157	0
65	루루	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	73,74,75	N_Ruru.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	1
66	프란츠	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	76,77,78	N_Frantz.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	2
67	프레데릭	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	79,80,81	N_Frederick.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	4
68	빨간두건	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	82,83,84	N_Redgirl.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	5
69	양치기소년	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	85,86,87	N_SheepBoy.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	5
70	1스테이지던젼함정	12	10000	0	0	120	10000	0	0	100	100	100	0	100	0	5	5	0	0	0	1000	2	0	0	14	100	0	0	0	0	0	0	0	0	0	0	100	3	3	0	1000000	1000	0	0	none	T_Dummy.act	1	0	0	0	0	0	0	0	0	regen_l.ms1	0	0
71	뮤란	12	1300	0	200	62	32	40	30	0	5	5	30	0	5	3	0	1.8	4	5	1000	1	8	8	12	10	13	20	0	0	0	0	0	0	50	10	100	6	60	0	600000	5000	0	0	29,30,31,32	T_BQran.act	1	43	100000000	150	200	0	0	0	0	regen_s.ms1	73	0
72	미스틱	23	2200	0	210	90	46	40	30	0	5	5	30	0	5	5	0	1.8	4	5	3000	1	3	3	12	10	13	20	0	0	0	0	0	0	50	10	100	6	60	0	600000	5000	2	0	9,10,11,12	T_MysMirror.act	1	44	100000000	250	350	0	0	0	0	regen_m.ms1	147	0
73	큐라	9	161	0	85	52	30	0	0	0	5	5	10	0	5	2	0	1.3	3	4	1000	1	11	7	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	30	15000	5000	0	0	13,14,15,16	T_Qra.act	1	14	55000000	17	19	0	0	0	0	regen_m.ms1	59	0
74	파란새	16	240	0	135	71	42	0	0	0	5	5	10	0	5	4	0	1.3	3	4	1000	1	13	13	13	15	0	0	0	0	0	0	0	0	8	4	100	2	12	50	15000	5000	2	0	49,50,51,52	T_BlueBird.act	1	32	52000000	30	36	0	0	0	0	regen_m.ms1	98	0
75	후문안내병	1	13000	0	0	1	10000	0	0	100	100	100	0	100	0	0	0	0	0	0	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	8	50	0	1000000	1000	0	0	94,95,96	N_CloverGD.act	1	0	0	0	0	0	0	0	1	regen_m.ms1	0	6
